z_spec,MAG_u,MAG_g,MAG_r,MAG_i
1.06503,23.791142,23.399633,23.318386,22.203148
0.98495,23.49286,23.520336,23.716362,23.473394
1.12122,23.641222,23.54087,23.370201,23.246082
1.16583,23.473839,23.329672,23.195665,22.678602
0.89519,22.045397,22.201153,22.060501,21.56432
1.13055,23.820179,23.457054,23.3999,23.071531
1.09728,23.811478,23.639013,23.610239,22.949787
0.80259,23.67936,23.714907,23.780636,22.876657
0.87328,23.827574,24.014553,23.993402,23.151785
1.14684,23.534851,23.33616,23.379799,22.986042
1.06906,24.684628,24.241491,24.021242,23.190681
0.79541,23.207628,23.21852,23.136696,22.829325
0.75837,22.747438,22.764347,22.484287,22.280994
0.85594,22.335684,22.089481,21.899387,21.390158
0.73668,24.730017,23.920889,23.987965,23.494184
0.82335,23.209204,22.90521,22.66741,22.043407
